sample	genome	coverage	breadth	nucl_diversity	length	true_scaffolds	detected_scaffolds	coverage_median	coverage_std	coverage_SEM	breadth_minCov	breadth_expected	nucl_diversity_rarefied	conANI_reference	popANI_reference	iRep	iRep_GC_corrected	linked_SNV_count	SNV_distance_mean	r2_mean	d_prime_mean	consensus_divergent_sites	population_divergent_sites	SNS_count	SNV_count	filtered_read_pair_count	reads_unfiltered_pairs	reads_mean_PID	divergent_site_count	reads_unfiltered_reads	species	genus	SDP	sec_clust
10B	56B_MAG.15.fa	10.0773292062049	0.455309105302508	0.0050295496208096	1432473	125	125	0	30.4498726185905	0.0256664378226904	0.259225130246783	0.99986337651347	0.0016521422287364	0.970560117199387	0.975415597321003	NA	False	7607	69.7721835151834	0.64619374027692	0.977103044795239	10932	9129	9063	3882	53490	54702	0.971609366760974	12945	193879	Bombilactobacillus sp.	Bombilactobacillus	unclassified	34_2
10B	59B_MAG.11.fa	9.99338752499776	0.833203163341561	0.0033001701422699	1660649	45	45	10	9.22581218528555	0.0071787009402518	0.7277239199855	0.999852865170572	0.0092286957427518	0.985744240352041	0.987658192758921	NA	False	12931	58.0205707215219	0.492304409564618	0.980956768971112	17228	14915	14836	7854	61121	61767	0.981793334161646	22690	172204	Bifidobacterium sp.	Bifidobacterium	unclassified	58_9
10B	64B_MAG.11.fa	66.7734732768657	0.924479170074312	0.0072214132310877	2292639	47	47	27	80.9551229493632	0.0535758098811942	0.886776330682676	1	0.0088303993834933	0.979965647807392	0.986693935932964	NA	False	233536	107.341878768156	0.711022144188424	0.994375225112767	40731	27052	26621	38697	571557	581741	0.977451668764809	65318	1535731	Snodgrassella alvi	Snodgrassella	unclassified	60_2
10B	70B_MAG.2.fa	4.44277467029996	0.0036068204650054	0.003504720791764	2215802	15	7	0	108.143721322041	0.0726992834706902	0.0028355421648685	0.980217746555554	0.0032643221708373	0.986630590482254	0.988858825401878	NA	False	336	159.794642857143	0.442469290419645	0.943616267504949	84	70	70	58	37423	37579	0.938086698975078	128	87641	Snodgrassella sp.	Snodgrassella	Snod_2	59_1
10B	71B_MAG.17.fa	1.06012587376785	0.529881102965945	0.0006463722704591	2461037	9	9	1	1.36434747029103	0.0008700112853889	0.02715318786349	0.607842269554598	0	0.970460157126824	0.970699588477366	NA	False	NA	NA	NA	NA	1974	1958	1958	45	9466	9775	0.966534571199142	2003	20341	Bartonella sp.	Bartonella	unclassified	43_1
10B	71B_MAG.23.fa	6.34975108550924e-05	3.88630250383882e-05	NA	4708846	16	1	0	0.010622576435528	4.89688927990086e-06	0	5.60667302871298e-05	NA	0	0	NA	False	NA	NA	NA	NA	0	0	0	0	1	1	0.920529801324503	0	518	Enterobacter bugandensis	Enterobacter	unclassified	18_1
10B	72B_MAG.34.fa	0.0005275248658893	0.0003529392555116	NA	1592342	190	1	0	0.0315535697087031	2.53090210717865e-05	0	0.000465695986527	NA	0	0	NA	False	NA	NA	NA	NA	0	0	0	0	3	3	0.952317142498542	0	36	Schmidhempelia sp.	Schmidhempelia	unclassified	64_0
10B	73B_MAG.30.fa	13.627863778926	0.832488602340584	0.0114179513991916	2697703	60	60	3	52.1437725746306	0.0318180483654583	0.346903272895497	0.999994057637146	0.0077609928717445	0.980330012972275	0.989976940551931	NA	False	88094	96.1926351397371	0.486266723495891	0.957943789199623	18408	9380	9124	23636	137974	148665	0.97693139422461	32760	474740	Gilliamella sp.	Gilliamella	unclassified	53_4
10B	77B_MAG.9.fa	10.4623250374516	0.698874562710124	0.0149785341673042	1877759	30	30	3	16.2533077485561	0.0118800128278764	0.446992398918072	0.999902750722818	0.0128684076704752	0.968900712937723	0.980157122705351	NA	False	81420	54.6030459346598	0.476544929996033	0.976970202465015	26103	16655	16194	28652	70962	73195	0.966938630175207	44846	307747	Bifidobacterium sp000499185	Bifidobacterium	unclassified	58_7
10B	7B_MAG.28.fa	0.0001853101446631	0.0001853101446631	NA	2061409	18	2	0	0.0136235044071878	9.49699940818696e-06	0	0.0001636154712661	NA	0	0	NA	False	NA	NA	NA	NA	0	0	0	0	2	2	1	0	4	Leuconostoc suionicum	Leuconostoc	unclassified	7_0
10B	7B_MAG.35.fa	0.0052386244965677	0.0037131470484561	NA	3038393	308	42	0	0.0962616826214007	5.57929344376296e-05	0	0.0046150233321983	NA	0	0	NA	False	NA	NA	NA	NA	0	0	0	0	57	65	0.960419314739647	0	152	Lonsdalea britannica	Lonsdalea	unclassified	26_0
10B	A9G03.fna	0.531378630482462	0.0093076333825796	0.0022308239188523	2670926	59	16	0	9.98576872561116	0.0061236749068849	0.0059799485272148	0.374502115212771	0.0009980189777195	0.991359879789632	0.99267468069121	NA	False	45	84.9555555555555	0.433773762707735	0.976178101178101	138	117	117	75	5603	5838	0.968381054733574	192	18720	Gilliamella sp.	Gilliamella	Gilli_apis_andre	51_1
10B	A9G10.fna	0.182238034537926	0.0067253490638107	0.001944331040004	2737107	46	11	0	5.01223158748605	0.0030347046393758	0.0043794415052096	0.148636574429436	0.0004365547634709	0.997163593893384	0.997997830983566	NA	False	2	1.5	1	1	34	24	22	34	2068	2087	0.967851218064863	56	6491	Gilliamella sp.	Gilliamella	Gilli_4	50_1
10B	A9G11.fna	0.105890441685602	0.0060903656169847	0.0024999866039307	3076170	129	23	0	3.448489498747	0.0019744799066436	0.0024000624152761	0.0892631301106182	0.0008817327703422	0.989164296356495	0.991060544494108	NA	False	26	57.0769230769231	0.657699403295083	1	80	66	66	39	1337	1376	0.953515726091736	105	6558	Gilliamella sp.	Gilliamella	Gilli_apis_dorsa	49_0
10B	A9G12.fna	0.0606269063636808	0.0047581099929392	0.0051355738011128	2532308	22	13	0	2.63248246021958	0.0016557125473911	0.0013118467421814	0.0521258685925292	0.0036509529489701	0.983744732089103	0.988260084286574	NA	False	164	98.5670731707317	0.832052502210612	0.982529847707868	54	39	37	34	616	633	0.980560218929211	71	3723	Gilliamella sp.	Gilliamella	Gilli_apis_dorsa	48_1
10B	A9G13.fna	0.0744296188735473	0.0058315006563867	0.0025361337888808	2369030	16	13	0	2.76843228586118	0.0017998745241508	0.0022160968835345	0.0636082497412628	0.0003582200375935	0.994285714285714	0.994857142857143	NA	False	2	4.5	0.503105590062112	1	30	27	26	16	726	739	0.983193759398174	42	3127	Gilliamella sp.	Gilliamella	Gilli_apis_dorsa	48_2
10B	A9G17.fna	345.810473173465	0.963706411748934	0.0078754925254507	2901642	1	1	373	217.786317066967	0.127856767067126	0.933196100690574	1	0.0064977710628362	0.972173730639733	0.982245002494644	NA	False	967188	146.598917687151	0.550035906604095	0.964955827966886	75348	48077	46862	68082	3688720	3787103	0.974598371403185	114944	9063420	Gilliamella apicola	Gilliamella	Gilli_1	52_2
10B	A9G19.fna	37.3261195994848	0.956115208200859	0.0104856651178802	2388823	10	10	37	31.177410235861	0.0201804116713232	0.897465404510924	0.999999999999995	0.0083665959906487	0.98719055024381	0.995024455591389	NA	False	205093	61.803308742863	0.464686016806036	0.963115916821268	27462	10667	10190	60957	337400	342863	0.982864378130432	71147	824479	Gilliamella apis	Gilliamella	Gilli_2	53_1
10B	A9G23.fna	0.815439293522063	0.0112176129833148	0.0041207803985786	2434386	53	16	0	26.1993809636731	0.0168284448282633	0.0059164816097364	0.513263756066478	0.003687686917739	0.985141984308824	0.98743317364438	NA	False	720	129.369444444444	0.344372999872481	0.94541879512954	214	181	178	135	7674	8096	0.963332324214604	313	25265	Gilliamella sp.	Gilliamella	Gilli_bombus	45_3
10B	A9G35.fna	0.358138455421737	0.0416359281756078	0.0054613385342243	2628355	125	57	0	8.48049188383218	0.005255988779829	0.0066300024159597	0.271112774256664	0.0039151323939802	0.981005394238494	0.98582577757374	NA	False	449	40.3051224944321	0.788543025010318	1	331	247	240	175	3679	3783	0.980914757009136	415	14420	Gilliamella sp.	Gilliamella	Gilli_bombus	46_2
10B	A9G47.fna	0.22814669965119	0.0085976801259817	0.0030709392044126	2847396	61	22	0	5.38471684441446	0.0031979480444064	0.0034694858038713	0.182458436901156	0.0006933412735961	0.98927016904545	0.991193440631643	NA	False	53	77.0943396226415	0.447941187993079	0.964590584038924	106	87	84	64	2635	2678	0.972518154863506	148	9376	Gilliamella sp.	Gilliamella	Gilli_bombus	45_1
10B	B6C99.fna	21.5833008513239	0.901131038331724	0.0088950021191431	2709192	77	75	9	62.2473109101736	0.03792614017011	0.746523317653382	0.99999999471321	0.0084046495457852	0.988313823409436	0.994060742407199	NA	False	120729	96.5449974736807	0.494933195821778	0.969685775432244	23635	12012	11635	40294	220900	227803	0.979646074885426	51929	668295	Gilliamella apis	Gilliamella	Gilli_2	53_3
10B	BBC0122.fna	0.0613061586151955	0.0262320050962915	0.0025908426918143	2907212	1	1	0	0.497856318727025	0.0002919985440172	0.0031951574223001	0.052694213832787	0	0.981375820863387	0.982344708795349	NA	False	NA	NA	NA	NA	173	164	163	28	649	686	0.96917172992381	191	3289	Bartonella apis	Bartonella	Bapis	39_1
10B	BBC0244.fna	0.181935014264598	0.0824096937982194	0.0068917619434009	2643257	1	1	0	0.803805981531846	0.0004944223007563	0.007970469765142	0.148408747277592	0	0.983149800645529	0.986852097968483	NA	False	1	3	1	1	355	277	276	210	1762	1826	0.97103404552007	486	8237	Bartonella apis	Bartonella	Bapis	39_3
10B	BGI32.fna	1.11582468158841	0.0189597615355256	0.0078146173024683	2483892	119	50	0	20.2416807502439	0.0129053855846529	0.0099030070550571	0.626662780426185	0.0046961547839071	0.966013497032279	0.973005935441906	NA	False	2644	82.0393343419062	0.573426516085682	0.968747583066646	836	664	646	449	10809	11356	0.951655172500792	1095	56751	Snodgrassella sp.	Snodgrassella	Snod_bombus	62_2
10B	BHC44.fna	1.18935595745356	0.0174605472933054	0.0035013206982082	2582966	90	36	0	15.3469713998579	0.0095825691542798	0.0115301556427765	0.650132689917821	0.0020302324765522	0.980592304076288	0.983479954334833	NA	False	461	72.6377440347072	0.651861872827293	1	578	492	479	243	11909	12389	0.961494963402539	722	44570	Snodgrassella sp.	Snodgrassella	Snod_bombus	62_3
10B	BHC57.fna	0.731349284218466	0.0089212073083609	0.0058635851312032	2609176	74	22	0	13.0968925961706	0.0081311484614769	0.0064062370648817	0.475747278487881	0.0023910666945281	0.972599461561472	0.977026622793898	NA	False	844	97.2902843601896	0.550036406224193	0.962285986073589	458	384	366	252	7354	7635	0.946648945103087	618	32602	Snodgrassella sp.	Snodgrassella	Snod_bombus	62_4
10B	BINDI.fna	32.254094154897	0.943943256621617	0.003710618414306	1734546	1	1	33	13.9613639880936	0.0106013238962501	0.927260505054348	0.999999999999572	0.0032391578898697	0.979601784657319	0.984787761070794	NA	False	43150	46.7328389339513	0.835958702081742	0.996349506521135	32808	24467	24215	20265	205012	209530	0.978170649035293	44480	431092	Bifidobacterium coryneforme 	Bifidobacterium	Bifido_2	57_1
10B	CIN.fna	0.400573493814919	0.0020160682554593	0.0019836352224031	2454778	26	2	0	11.2291230080051	0.0071746429240841	0.0018237901757307	0.297918928416758	0.0007802046630287	0.961581416126871	0.962698235425508	NA	False	27	4.18518518518519	0.756155392951789	0.921430488459474	172	167	165	17	3560	3611	0.939822162398192	182	11721	Commensalibacter intestini	Commensalibacter	Com_drosophila	28_0
10B	ESL0198.fna	94.5480221459082	0.944986659896397	0.0069111544122333	2245110	1	1	108	63.8518191610251	0.0426161197809347	0.900395080864635	1	0.0042883146978592	0.979589767131704	0.989808487419651	NA	False	234233	98.9154346313286	0.664996467731329	0.991982505524284	41259	20602	20257	44419	780833	786518	0.982090026810303	64676	1830001	Bifidobacterium polysaccharolyticum	Bifidobacterium	Bifido_1.4	58_1
10B	ESL0200.fna	1.74368215458307	0.168016828053747	0.00835722744614	1945323	1	1	0	8.00652609719027	0.0057407773113338	0.0770437608561663	0.785548429035968	0.007498173322513	0.970822351959967	0.976740617180984	NA	False	6722	53.4901814936031	0.581766539006012	0.986808704201441	4373	3486	3424	2586	12466	13318	0.969653968677456	6010	64875	Bifidobacterium sp.	Bifidobacterium	Bifido_1.5	58_8
10B	ESL0825.fna	34.016835982785	0.89056181988548	0.0187868322639002	2213414	5	4	28	30.8993091105974	0.0207737867024154	0.810839273628883	0.99999999999991	0.0163007591035282	0.97981471235394	0.992742055459255	NA	False	523325	67.6486714756604	0.372254418722362	0.96742006650656	36227	13026	12385	90724	274547	278645	0.977836890301703	103109	790038	Bifidobacterium apousia	Bifidobacterium	Bifido_1.1	58_6
10B	ESL0827.fna	21.7421780739654	0.92393917324236	0.0094713125538614	2191404	1	1	9	32.4361627951446	0.0219123100577497	0.751268136774415	0.999999995405212	0.005172908079033	0.984311791303334	0.992161362349757	NA	False	79231	65.2521109161818	0.571007556038432	0.987868317806254	25828	12905	12654	35526	177295	180209	0.982509343284757	48180	527989	Bifidobacterium sp.	Bifidobacterium	Bifido_1.4	58_2
10B	GAPWK.fna	699.180838641121	0.988749485572458	0.0109402531931867	3139412	1	1	752	318.345876818611	0.179675546944176	0.973314748112067	1	0.0103322550504384	0.986338359673731	0.995680113730824	NA	False	1783520	179.281105342245	0.474690703644752	0.95659635751964	41745	13200	12531	101420	8313054	8534678	0.984221632149747	113951	18739562	Gilliamella apicola	Gilliamella	Gilli_1	52_1
10B	Ga0055041.fna	0.404142517974411	0.0200155506963314	0.0015364011002689	2260992	61	7	0	5.88868231358536	0.003926843362735	0.0071105957031249	0.300128017895314	0.0013332392494769	0.991291907694222	0.992100516265472	NA	False	409	107.039119804401	0.843784468561043	0.992125586001978	140	127	121	55	3681	3904	0.985477837759837	176	11546	Gilliamella sp.	Gilliamella	Gilli_bombus	46_4
10B	Ga0056940.fna	0.0006379142683323	0.0002474621934225	0	1895239	4	1	0	0.0499373085668652	3.62814749028133e-05	8.28391564335685e-05	0.0005631196874986	0	1	1	NA	False	NA	NA	NA	NA	0	0	0	0	6	6	0.998344370860927	0	37	Bifidobacterium bombi	Bifidobacterium	Bifido_bombus	66_0
10B	Ga0057557.fna	0.0002626104157429	0.0001047518355932	NA	2052470	5	1	0	0.0270120641170868	1.88592879958339e-05	0	0.000231858113853	NA	0	0	NA	False	NA	NA	NA	NA	0	0	0	0	3	3	1	0	53	Bifidobacterium bohemicum	Bifidobacterium	Bifido_bombus	65_0
10B	Ga0061080.fna	0.0776006995877429	0.0246390519872217	0.0044995379325355	2521485	113	55	0	1.7695155921908	0.0011193898009937	0.0023141125170286	0.0662265394240896	0.0005040833267582	0.962467866323907	0.965724078834619	NA	False	6	14.8333333333333	0.696485406578287	1	219	200	195	47	766	817	0.975254446046482	242	5507	Gilliamella intestini	Gilliamella	Gilli_bombus	46_3
10B	Ga0072403.fna	17.7504050254854	0.938727427636068	0.0148238937311856	2145544	40	38	16	20.0069235107612	0.0136843092999235	0.847810159101841	0.999999844030855	0.0116345536168864	0.987397568133066	0.994707572344138	NA	False	131107	49.9728389788493	0.40747809174204	0.967025456592091	22924	9627	9278	65244	143401	146016	0.980420882504056	74522	360988	Lactobacillus kimbladii	Lactobacillus	Firm5_4	37_2
10B	Ga0077910.fna	49.9904826673788	0.981966690078671	0.0100994273593261	2692351	1	1	48	44.4836059816427	0.0271113009705774	0.952117684506961	1	0.008393803178933	0.982329179401857	0.995499008166776	NA	False	327176	73.3842366188229	0.484158112999127	0.979398792963268	45298	11538	11107	74092	502759	521857	0.979625734776069	85199	1118795	Frischella perrara	Frischella	Fper_1	44_1
10B	Ga0098206.fna	0.0313197381506617	0.0010557030917019	0.0051983538077666	1830060	1	1	0	1.1000593795824	0.000813218622218	0.0009229205599816	0.0272764211552416	0.0024736194522834	0.972764949674362	0.978685612788631	NA	False	30	37.0666666666667	1	1	46	36	36	24	211	217	0.973592160904907	60	720	Bifidobacterium actinocoloniiforme	Bifidobacterium	Bifido_bombus	63_0
10B	Ga0098617.fna	1.13088993983883	0.561117182076426	0.0038426795861103	1535542	55	55	1	1.41516050308474	0.0011461359758525	0.0302961429905531	0.631596257875732	0	0.988585799961308	0.990842845166699	NA	False	4	13.75	0.786842105263158	1	531	426	422	238	6796	6845	0.985300047553139	660	14528	Apilactobacillus kunkeei	Apilactobacillus	Lkun	10_1
10B	Ga0133557.fna	147.886022218924	0.958099901561727	0.0045227148707874	3086198	19	17	157	88.2193100947645	0.0502480682710864	0.930593565286479	1	0.0034421791325309	0.987151096310719	0.990700195961276	NA	False	268267	113.525047806849	0.717205008150316	0.981083077905765	36902	26709	26240	36202	1744098	1765559	0.982780436581215	62442	3841543	Gilliamella apis	Gilliamella	Gilli_3	53_5
10B	Ga0133563.fna	70.4602175031579	0.986852846708043	0.0138090854757478	1683102	1	1	76	33.6644936153832	0.025950325036835	0.958726209106756	1	0.0121996105730386	0.975982781721258	0.995490303253402	NA	False	666670	87.6477702611487	0.42824102312926	0.966615580423877	38755	7277	6930	74334	438234	448245	0.973846435245996	81264	923450	Lactobacillus apis	Lactobacillus	Firm5_1	36_1
10B	Ga0216357.fna	0.0018931857943169	0.0004215851602023	0.0006476421825221	1899972	5	1	0	0.114936520053009	8.34063041767539e-05	0.0001605286814752	0.0016702865725292	0	0.944262295081948	0.944262295081948	NA	False	NA	NA	NA	NA	17	17	17	0	14	14	0.954800617305293	17	269	Bombella sp.	Bombella	Bom_apis_melli	4_0
10B	Ga0226843.fna	0.10703428235041	0.0056963991504658	0.0018786335801814	1654554	13	5	0	3.61990560526719	0.0028164263722632	0.0031652034324657	0.0901825202715442	0.0001529094006478	0.957800267328623	0.958945961428299	NA	False	3	23.3333333333333	1	1	221	215	213	20	636	675	0.965327406047941	233	3965	Lactobacillus bombicola	Lactobacillus	Firm5_bombus_2	32_1
10B	Ga0226852.fna	0.0410862602215471	0.0095141074941186	0.006409702011303	1634415	17	9	0	0.663523579327274	0.0005195502000221	0.002482233704414	0.0356289654159353	0	0.981020458466847	0.985210746857284	NA	False	9	46.6666666666667	0.815047204066811	1	77	60	60	45	264	361	0.964636791617127	105	1603	Lactobacillus bombicola	Lactobacillus	Firm5_bombus_1	33_0
10B	Ga0227298.fna	1.03151583794452	0.266903963813437	0.0066199296200855	2530442	18	18	0	12.314267785329	0.0077467516973834	0.0122279032674923	0.597809123104273	0.0038073493919753	0.974468360157714	0.98141684441859	NA	False	1897	95.8634686346863	0.723208640408409	0.978509270824006	790	575	560	435	9887	10153	0.98521918963011	995	30979	Gilliamella sp.	Gilliamella	Gilli_bombus	46_1
10B	Ga0227301.fna	0.574276735971331	0.0153306897303539	0.0062926044140122	2687746	34	20	0	18.3264687347824	0.0111926993459161	0.0044327105314266	0.397752240591994	0.0016948378669461	0.978932348497566	0.982037938559678	NA	False	334	57.7814371257485	0.525724644651544	0.991773467826083	251	214	208	140	5909	6079	0.966399744673089	348	21521	Gilliamella sp.	Gilliamella	Gilli_bombus	45_2
10B	Ga0227302.fna	0.276237063185329	0.0138512882551978	0.0041676468061596	2377324	10	10	0	6.46583310060037	0.0041953012667076	0.0051011136891731	0.216447589623903	0.002533547536578	0.97641626123526	0.979219922487012	NA	False	278	66.9496402877698	0.582729747965669	0.992382809203086	286	252	248	101	2560	2618	0.981035501033847	349	12392	Gilliamella sp.	Gilliamella	Gilli_bombus	45_4
10B	Ga0227359.fna	53.6638795488592	0.972467842666579	0.0196895331425608	2014626	29	28	56	44.1189938794513	0.0311282386670038	0.926152050057926	1	0.0191233226082235	0.979887986708471	0.993607203151379	NA	False	852932	73.2718903734413	0.367101811115578	0.944660203107363	37526	11928	11331	99804	400526	410687	0.979802030562966	111135	889780	Lactobacillus melliventris	Lactobacillus	Firm5_3	38_2
10B	Ga0248239.fna	0.271175284559474	0.0018175116397182	0.0010831084463521	2354868	14	1	0	8.73988088305582	0.0056987639623846	0.0016514726090804	0.212937624395174	0.0005640194906794	0.96194394445873	0.9632296220108	NA	False	6	4.66666666666667	0.43331956534958	1	148	143	143	9	2358	2425	0.926165882246447	152	8743	Commensalibacter	Commensalibacter	Com_monarch	29_0
10B	Ga0307800.fna	0.71924527576613	0.0091635526509204	0.0028443937567235	2809609	1	1	0	13.6532073254904	0.0081456787379306	0.0069746359724787	0.470114099931083	0.0015788478567415	0.992651561543172	0.993927332108594	NA	False	132	81.8257575757576	0.395277889393566	0.949375411107755	144	119	115	116	8055	8198	0.995423544502935	231	21813	Gilliamella sp.	Gilliamella	Gilli_5	55_0
10B	Ga0307802.fna	0.261542584151797	0.0087133779054124	0.0028969328943588	2754041	1	1	0	7.18915381217143	0.00433219925696	0.0058855332945297	0.206214576552784	0.0019796343627693	0.990314023073601	0.99210315256956	NA	False	255	69.5843137254902	0.917945913704874	1	157	128	123	82	2979	3106	0.992073715429134	205	10712	Gilliamella sp.	Gilliamella	Gilli_4	50_2
10B	Ga0307803.fna	0.844488630243465	0.0189075202132008	0.0037612872027692	2404493	1	1	0	12.4275293489776	0.0080147723594108	0.0111520391200972	0.525590051351181	0.0034526357250576	0.989632668282678	0.993138168935297	NA	False	577	72.7227036395147	0.412825650895241	0.955450549953979	278	184	180	225	8045	8310	0.990739158814994	405	28117	Gilliamella sp.	Gilliamella	Gilli_6	54_1
10B	Ga0307804.fna	0.0663864034367964	0.0096156662279708	0.0048726165366487	2151073	1	1	0	1.10324688504616	0.0007522555956676	0.0036256324169379	0.0569341743091494	0	0.995255802025901	0.996922682395179	NA	False	98	46.8877551020408	0.549632762139665	0.979197994987469	37	24	23	79	575	608	0.988866030302521	102	2353	Lactobacillus panisapium	Lactobacillus	Firm5_7	35_1
10B	Ga0308518.fna	0.0001873292288955	0.0001028086533252	NA	2023176	12	1	0	0.018888050512149	1.32870373347841e-05	0	0.0001653980293523	NA	0	0	NA	False	NA	NA	NA	NA	0	0	0	0	2	2	0.993355408388521	0	244	Bombella intestini	Bombella	Bom_bombus	3_0
10B	Ga0308523.fna	0.0053822795876045	0.001884043814384	0.0013803532697204	1423003	26	4	0	0.168958557522265	0.0001418967344058	0.0003738572582067	0.0047412773659936	0	0.994360902255639	0.994360902255639	NA	False	NA	NA	NA	NA	3	3	3	0	32	34	0.958259977741475	3	102	Apilactobacillus kunkeei	Apilactobacillus	Lkun	11_0
10B	Ga0312305.fna	1.67906653785234	0.1688695826577	0.0081560148739314	2233706	1	1	0	7.52295808676484	0.0050337909739349	0.0777738878796045	0.772956977476554	0.0068508888927912	0.971920978103198	0.977711772696922	NA	False	5792	61.5303867403315	0.569716412546246	0.988286934571223	4878	3872	3806	2939	13736	14320	0.971869100263293	6745	89091	Bifidobacterium sp.	Bifidobacterium	Bifido_1_cerana	58_10
10B	Ga0326500.fna	823.820059976193	0.971606145434092	0.0121343890940905	2446304	15	15	911	375.798677268058	0.240417780239081	0.954490938166311	1	0.0117070436369822	0.980938125675864	0.988733069947216	NA	False	1195904	202.625495023012	0.80593517446827	0.985882964302358	44509	26308	25476	63750	7404225	7559058	0.976238338176939	89226	15766953	Snodgrassella alvi	Snodgrassella	Snod_1	61_1
10B	Ga0372762.fna	0.0027742349345307	0.0016482396890683	0	1987575	1	1	0	0.0770703960161064	5.4669838210371e-05	1.91187753921236e-05	0.0024466515044527	0	0.894736842105263	0.894736842105263	NA	False	NA	NA	NA	NA	4	4	4	0	25	41	0.967401922661621	4	1018	Bombella sp.	Bombella	Bom_1	2_2
10B	Ga0418777.fna	0.0905349620973622	0.0023405668267234	0.0026852111124422	2612615	1	1	0	4.04300765664528	0.0025014024020523	0.0011842540902505	0.0768304542996265	0.0008258273083899	0.986425339366515	0.987394957983192	NA	False	NA	NA	NA	NA	42	39	38	12	980	1016	0.991229541267023	50	3733	Frischella sp.	Frischella	Fper_2	56_0
